,GOROD_RU,GOROD_EN,REGION1_RU,REGION1_EN,REGION2_RU,REGION2_EN,COUNTRY,ZIP_CODE,POPULATION_GROUP1,POPULATION_GROUP2,POPULATION_GROUP3
3456,Черниговка,Chernigovka,Тайыншинский РУПС,Taiynsha district,Северо-Казахстанская область,North Kazakhstan,Казахстан (KZ),151042,Село_не_адм_центр,Village,Village
3457,Каскелен,Kaskelen,Карасайский РУПС,Karasay district,Алматинская область,Almaty region,Казахстан (KZ),040903,Город_уровня_4,Small_city,Small_city
3458,Макарьевка,Makarevka,Жамбылский РУПС,Zhambyl district,Северо-Казахстанская область,North Kazakhstan,Казахстан (KZ),150612,Село_не_адм_центр,Village,Village
3459,Талдыкорган,Taldykorgan,Алматинский ОФ,Almaty region,Алматинская область,Almaty region,Казахстан (KZ),040006,Город_уровня_2,Medium_city,Small_city
3460,Братское,Bratskoe,Карасуский РУПС,Karasu district,Костанайская область,Kostanay,Казахстан (KZ),111003,Село_не_адм_центр,Village,Village
3461,Талдыкорган,Taldykorgan,Алматинский ОФ,Almaty region,Алматинская область,Almaty region,Казахстан (KZ),040005,Город_уровня_2,Medium_city,Small_city
3462,Аксу,Aksu,Аксуский УПС,Aksusky region,Павлодарская область,Pavlodar,Казахстан (KZ),140104,Город_уровня_3,Small_city,Small_city
3463,Петропавловск,Petropavlovsk,СКО ОФ,SKO region,Северо-Казахстанская область,North Kazakhstan,Казахстан (KZ),150007,Город_уровня_2,Medium_city,Small_city
3464,Аксуат,Aksuat,Тимирязевкий РУПС,Timiryazev district,Северо-Казахстанская область,North Kazakhstan,Казахстан (KZ),151114,Село_не_адм_центр,Village,Village
3465,Голубой Залив,Goluboy Zaliv,Зыряновский РУПС,Zyryanovsk district,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),070810,Село_не_адм_центр,Village,Village
